Buy Price,Mon AM,Mon PM,Tue AM,Tue PM,Wed AM,Wed PM,Thu AM,Thu PM,Fri AM,Fri PM,Sat AM,Sat PM,Previous Pattern,Pattern
93,81,78,75,70,67,114,140,473,NaN,NaN,NaN,NaN,1,2
110,126,136,150,88,83,73,148,151,115,NaN,78,68,0 ,0
106,96,91,86,137,198,514,186,104,44,71,80,81,0,2
100,90,85,81,77,71,134,155,398,174,104,NaN,NaN,0,2
101,87,84,80,76,71,68,104,172,350,200,NaN,NaN,0,2
93,42,38,32,127,102,133,134,133,49,46,42,38,0,1
91,70,65,NaN,91,55,50,45,99,NaN,86,NaN,88,2,0
92,41,38,107,106,136,143,129,56,53,NaN,NaN,NaN,1,1
106,84,80,77,73,69,64,119,145,149,151,149,73,0,1
94,100,90,60,53,119,117,99,116,114,NaN,NaN,NaN,4,0
99,88,83,78,75,126,156,253,166,128,80,59,66,0,2
110,113,104,137,135,112,103,68,63,56,152,71,66,0,0
90,78,75,71,67,65,60,112,133,201,128,96,37,1,2
106,93,88,83,79,74,70,66,101,208,364,NaN,NaN,3,2
90,83,77,72,68,119,122,NaN,NaN,166,NaN,NaN,NaN,4,1
95,83,80,76,73,69,65,61,58,55,51,47,43,0,3
92,72,95,121,140,153,131,70,67,63,NaN,55,NaN,4,1
98,125,101,151,185,159,53,49,46,42,38,NaN,NaN,0,1
104,133,138,134,106,141,68,58,NaN,NaN,NaN,NaN,NaN,0 ,0
101,68,98,105,164,174,156,NaN,77,74,69,65,60,4,1
98,105,110,67,58,49,136,124,110,106,98,78,73,4,0
94,84,122,NaN,117,62,57,117,128,62,57,49,NaN,3,0
93,70,66,62,59,55,52,48,105,91,131,166,155,4,1
108,146,112,104,75,66,59,151,NaN,NaN,NaN,NaN,NaN,4,0
96,85,81,76,90,132,162,192,150,73,69,65,61,4,1
107,91,88,83,147,163,281,166,113,NaN,NaN,NaN,NaN,3,2
101,103,139,145,157,147,62,58,54,50,48,44,39,4,1
90,82,77,72,68,63,58,98,126,163,NaN,NaN,NaN,4,1
93,70,67,63,59,55,52,48,121,NaN,NaN,NaN,NaN,0,1
106,90,NaN,NaN,NaN,168,162,86,81,76,NaN,NaN,NaN,3,1
94,84,80,76,131,166,252,187,NaN,NaN,40,54,NaN,1,2
106,95,90,86,81,76,71,68,64,60,57,53,50,2,3
93,99,94,85,80,66,62,112,118,126,64,54,44,4,0
102,114,130,167,180,155,62,58,NaN,NaN,NaN,NaN,NaN,2,1
100,90,86,83,78,73,69,114,149,509,149,136,87,0 ,2
95,80,108,181,517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2
101,115,72,68,141,123,121,132,127,118,69,60,55,3,0
97,73,68,63,93,104,77,71,105,133,115,106,95,2,0
93,83,78,75,72,69,94,128,132,161,142,50,46,3,1
104,NaN,88,84,80,74,102,167,609,140,132,94,63,3,2
102,109,141,141,91,73,66,100,117,118,72,65,56,1,0
102,76,68,63,101,72,64,142,NaN,114,95,132,NaN,4,0
109,90,89,82,138,280,384,180,133,85,78,80,84,3,2
96,85,81,78,74,70,65,103,190,522,163,111,85,1,2
106,59,55,51,47,44,41,36,129,133,172,185,181,0 ,1
109,105,143,74,68,58,132,66,61,101,102,134,101,0 ,0
108,105,77,69,62,100,101,NaN,NaN,73,69,NaN,NaN,2,0
109,70,65,60,120,NaN,193,NaN,189,NaN,79,NaN,NaN,0 ,1
100,102,138,120,NaN,76,68,NaN,NaN,NaN,NaN,NaN,NaN,1,0
96,47,43,39,35,94,98,148,173,177,79,76,72,3,1
